Sexo;Grupo de edad;Tamaño del municipio de residencia;Realización específica de la prueba del VIH/sida;Total
Varones;De 30 a 39 años;Hasta 10000 habitantes;Total;849,0
Varones;De 30 a 39 años;Hasta 10000 habitantes;Alguna vez;168,7
Varones;De 30 a 39 años;Hasta 10000 habitantes;Nunca;680,3
Varones;De 30 a 39 años;Hasta 10000 habitantes;No consta;0,0
Varones;De 30 a 39 años;De 10001 a 50000 habitantes;Total;906,3
Varones;De 30 a 39 años;De 10001 a 50000 habitantes;Alguna vez;221,4
Varones;De 30 a 39 años;De 10001 a 50000 habitantes;Nunca;678,6
Varones;De 30 a 39 años;De 10001 a 50000 habitantes;No consta;6,3
Varones;De 30 a 39 años;De 50001 a 500000 habitantes;Total;1.243,0
Varones;De 30 a 39 años;De 50001 a 500000 habitantes;Alguna vez;337,8
Varones;De 30 a 39 años;De 50001 a 500000 habitantes;Nunca;898,0
Varones;De 30 a 39 años;De 50001 a 500000 habitantes;No consta;7,3
Varones;De 30 a 39 años;Más de 500000 habitantes;Total;586,2
Varones;De 30 a 39 años;Más de 500000 habitantes;Alguna vez;156,9
Varones;De 30 a 39 años;Más de 500000 habitantes;Nunca;414,4
Varones;De 30 a 39 años;Más de 500000 habitantes;No consta;14,9
Varones;De 40 a 49 años;Total;Total;3.015,2
Varones;De 40 a 49 años;Total;Alguna vez;541,4
Varones;De 40 a 49 años;Total;Nunca;2.456,5
Varones;De 40 a 49 años;Total;No consta;17,2
Varones;De 40 a 49 años;Hasta 10000 habitantes;Total;776,3
Varones;De 40 a 49 años;Hasta 10000 habitantes;Alguna vez;111,5
Varones;De 40 a 49 años;Hasta 10000 habitantes;Nunca;657,9
Varones;De 40 a 49 años;Hasta 10000 habitantes;No consta;6,9
Varones;De 40 a 49 años;De 10001 a 50000 habitantes;Total;698,4
Varones;De 40 a 49 años;De 10001 a 50000 habitantes;Alguna vez;117,7
Varones;De 40 a 49 años;De 10001 a 50000 habitantes;Nunca;575,9
Varones;De 40 a 49 años;De 10001 a 50000 habitantes;No consta;4,8
Varones;De 40 a 49 años;De 50001 a 500000 habitantes;Total;1.036,7
Varones;De 40 a 49 años;De 50001 a 500000 habitantes;Alguna vez;207,1
Varones;De 40 a 49 años;De 50001 a 500000 habitantes;Nunca;824,2
Varones;De 40 a 49 años;De 50001 a 500000 habitantes;No consta;5,5
Varones;De 40 a 49 años;Más de 500000 habitantes;Total;503,7
Varones;De 40 a 49 años;Más de 500000 habitantes;Alguna vez;105,1
Varones;De 40 a 49 años;Más de 500000 habitantes;Nunca;398,6
Varones;De 40 a 49 años;Más de 500000 habitantes;No consta;0,0
Mujeres;Total;Total;Total;10.227,5
Mujeres;Total;Total;Alguna vez;2.462,0
Mujeres;Total;Total;Nunca;7.668,1
Mujeres;Total;Total;No consta;97,3
Mujeres;Total;Hasta 10000 habitantes;Total;2.258,7
Mujeres;Total;Hasta 10000 habitantes;Alguna vez;414,2
Mujeres;Total;Hasta 10000 habitantes;Nunca;1.832,8
Mujeres;Total;Hasta 10000 habitantes;No consta;11,8
Mujeres;Total;De 10001 a 50000 habitantes;Total;2.487,3
Mujeres;Total;De 10001 a 50000 habitantes;Alguna vez;579,4
Mujeres;Total;De 10001 a 50000 habitantes;Nunca;1.877,5
Mujeres;Total;De 10001 a 50000 habitantes;No consta;30,4
Mujeres;Total;De 50001 a 500000 habitantes;Total;3.588,7
Mujeres;Total;De 50001 a 500000 habitantes;Alguna vez;881,5
Mujeres;Total;De 50001 a 500000 habitantes;Nunca;2.671,8
Mujeres;Total;De 50001 a 500000 habitantes;No consta;35,4
Mujeres;Total;Más de 500000 habitantes;Total;1.892,7
Mujeres;Total;Más de 500000 habitantes;Alguna vez;587,0
Mujeres;Total;Más de 500000 habitantes;Nunca;1.286,0
Mujeres;Total;Más de 500000 habitantes;No consta;19,8
Mujeres;De 18 a 29 años;Total;Total;3.747,4
Mujeres;De 18 a 29 años;Total;Alguna vez;538,9
Mujeres;De 18 a 29 años;Total;Nunca;3.181,9
Mujeres;De 18 a 29 años;Total;No consta;26,5
Mujeres;De 18 a 29 años;Hasta 10000 habitantes;Total;842,7
Mujeres;De 18 a 29 años;Hasta 10000 habitantes;Alguna vez;89,7
Mujeres;De 18 a 29 años;Hasta 10000 habitantes;Nunca;752,9
Mujeres;De 18 a 29 años;Hasta 10000 habitantes;No consta;0,0
Mujeres;De 18 a 29 años;De 10001 a 50000 habitantes;Total;888,9
Mujeres;De 18 a 29 años;De 10001 a 50000 habitantes;Alguna vez;119,3
Mujeres;De 18 a 29 años;De 10001 a 50000 habitantes;Nunca;760,7
Mujeres;De 18 a 29 años;De 10001 a 50000 habitantes;No consta;8,8
Mujeres;De 18 a 29 años;De 50001 a 500000 habitantes;Total;1.347,5
Mujeres;De 18 a 29 años;De 50001 a 500000 habitantes;Alguna vez;221,6
Mujeres;De 18 a 29 años;De 50001 a 500000 habitantes;Nunca;1.114,9
Mujeres;De 18 a 29 años;De 50001 a 500000 habitantes;No consta;11,0
Mujeres;De 18 a 29 años;Más de 500000 habitantes;Total;668,3
Mujeres;De 18 a 29 años;Más de 500000 habitantes;Alguna vez;108,2
Mujeres;De 18 a 29 años;Más de 500000 habitantes;Nunca;553,4
Mujeres;De 18 a 29 años;Más de 500000 habitantes;No consta;6,7
Mujeres;De 30 a 39 años;Total;Total;3.459,2
Mujeres;De 30 a 39 años;Total;Alguna vez;1.312,9
Mujeres;De 30 a 39 años;Total;Nunca;2.108,7
Mujeres;De 30 a 39 años;Total;No consta;37,6
Mujeres;De 30 a 39 años;Hasta 10000 habitantes;Total;778,7
Mujeres;De 30 a 39 años;Hasta 10000 habitantes;Alguna vez;231,2
Mujeres;De 30 a 39 años;Hasta 10000 habitantes;Nunca;540,5
Mujeres;De 30 a 39 años;Hasta 10000 habitantes;No consta;7,0
Mujeres;De 30 a 39 años;De 10001 a 50000 habitantes;Total;856,5
Mujeres;De 30 a 39 años;De 10001 a 50000 habitantes;Alguna vez;341,8
Mujeres;De 30 a 39 años;De 10001 a 50000 habitantes;Nunca;503,3
Mujeres;De 30 a 39 años;De 10001 a 50000 habitantes;No consta;11,3
Mujeres;De 30 a 39 años;De 50001 a 500000 habitantes;Total;1.151,2
Mujeres;De 30 a 39 años;De 50001 a 500000 habitantes;Alguna vez;445,2
Mujeres;De 30 a 39 años;De 50001 a 500000 habitantes;Nunca;695,5
Mujeres;De 30 a 39 años;De 50001 a 500000 habitantes;No consta;10,5
Mujeres;De 30 a 39 años;Más de 500000 habitantes;Total;672,8
Mujeres;De 30 a 39 años;Más de 500000 habitantes;Alguna vez;294,7
Mujeres;De 30 a 39 años;Más de 500000 habitantes;Nunca;369,3
Mujeres;De 30 a 39 años;Más de 500000 habitantes;No consta;8,8
Mujeres;De 40 a 49 años;Total;Total;3.020,9
Mujeres;De 40 a 49 años;Total;Alguna vez;610,2
Mujeres;De 40 a 49 años;Total;Nunca;2.377,5
Mujeres;De 40 a 49 años;Total;No consta;33,2
Mujeres;De 40 a 49 años;Hasta 10000 habitantes;Total;637,3
Mujeres;De 40 a 49 años;Hasta 10000 habitantes;Alguna vez;93,3
Mujeres;De 40 a 49 años;Hasta 10000 habitantes;Nunca;539,3
Mujeres;De 40 a 49 años;Hasta 10000 habitantes;No consta;4,7
Mujeres;De 40 a 49 años;De 10001 a 50000 habitantes;Total;741,9
Mujeres;De 40 a 49 años;De 10001 a 50000 habitantes;Alguna vez;118,3
Mujeres;De 40 a 49 años;De 10001 a 50000 habitantes;Nunca;613,4
Mujeres;De 40 a 49 años;De 10001 a 50000 habitantes;No consta;10,2
Mujeres;De 40 a 49 años;De 50001 a 500000 habitantes;Total;1.090,0
Mujeres;De 40 a 49 años;De 50001 a 500000 habitantes;Alguna vez;214,6
Mujeres;De 40 a 49 años;De 50001 a 500000 habitantes;Nunca;861,5
Mujeres;De 40 a 49 años;De 50001 a 500000 habitantes;No consta;13,9
Mujeres;De 40 a 49 años;Más de 500000 habitantes;Total;551,7
Mujeres;De 40 a 49 años;Más de 500000 habitantes;Alguna vez;184,0
Mujeres;De 40 a 49 años;Más de 500000 habitantes;Nunca;363,3
Mujeres;De 40 a 49 años;Más de 500000 habitantes;No consta;4,3
